slug_fr,slug_en,url_fr,url_en
"boutiques/pop-up-store-38-rue-des-martyrs","popup-shops/38-rue-des-martyrs-paris","https://www.nestore.com/boutiques/pop-up-store-38-rue-des-martyrs","https://www.nestore.com/en/popup-shops/38-rue-des-martyrs-paris"
"boutiques/pop-up-store-9-rue-commines","popup-shops/pop-up-shop-9-commines-street","https://www.nestore.com/boutiques/pop-up-store-9-rue-commines","https://www.nestore.com/en/popup-shops/pop-up-shop-9-commines-street"
"boutiques/pop-up-store-debelleyme","popup-shops/15-rue-debelleyme-paris","https://www.nestore.com/boutiques/pop-up-store-debelleyme","https://www.nestore.com/en/popup-shops/15-rue-debelleyme-paris"
"boutiques/pop-up-store-legendre-batignolles","popup-shops/66-legendre","https://www.nestore.com/boutiques/pop-up-store-legendre-batignolles","https://www.nestore.com/en/popup-shops/66-legendre"
"boutiques/pop-up-store-marais-vieille-du-temple","popup-shops/119-vieille-du-temple-paris","https://www.nestore.com/boutiques/pop-up-store-marais-vieille-du-temple","https://www.nestore.com/en/popup-shops/119-vieille-du-temple-paris"
"boutiques/pop-up-store-marche-saint-honore","popup-shops/9-rue-marche-saint-honore-paris","https://www.nestore.com/boutiques/pop-up-store-marche-saint-honore","https://www.nestore.com/en/popup-shops/9-rue-marche-saint-honore-paris"
"boutiques/quai-de-valmy","boutiques/quai-de-valmy","https://www.nestore.com/boutiques/quai-de-valmy","https://www.nestore.com/en/boutiques/quai-de-valmy"
"boutiques/rue-commines","boutiques/rue-commines","https://www.nestore.com/boutiques/rue-commines","https://www.nestore.com/en/boutiques/rue-commines"
"boutiques/rue-de-marseille","boutiques/rue-de-marseille","https://www.nestore.com/boutiques/rue-de-marseille","https://www.nestore.com/en/boutiques/rue-de-marseille"
"boutiques/rue-de-seine","boutiques/rue-de-seine","https://www.nestore.com/boutiques/rue-de-seine","https://www.nestore.com/en/boutiques/rue-de-seine"
"boutiques/rue-de-turenne","boutiques/rue-de-turenne","https://www.nestore.com/boutiques/rue-de-turenne","https://www.nestore.com/en/boutiques/rue-de-turenne"
"boutiques/rue-debelleyme","boutiques/rue-debelleyme","https://www.nestore.com/boutiques/rue-debelleyme","https://www.nestore.com/en/boutiques/rue-debelleyme"
"boutiques/rue-des-francs-bourgeois","boutiques/rue-des-francs-bourgeois","https://www.nestore.com/boutiques/rue-des-francs-bourgeois","https://www.nestore.com/en/boutiques/rue-des-francs-bourgeois"
"boutiques/rue-du-bourg-tibourg","boutiques/rue-du-bourg-tibourg","https://www.nestore.com/boutiques/rue-du-bourg-tibourg","https://www.nestore.com/en/boutiques/rue-du-bourg-tibourg"
"boutiques/rue-saint-roch","boutiques/rue-saint-roch","https://www.nestore.com/boutiques/rue-saint-roch","https://www.nestore.com/en/boutiques/rue-saint-roch"
"boutiques/rue-sainte-croix-de-la-bretonnerie","boutiques/rue-sainte-croix-de-la-bretonnerie","https://www.nestore.com/boutiques/rue-sainte-croix-de-la-bretonnerie","https://www.nestore.com/en/boutiques/rue-sainte-croix-de-la-bretonnerie"
"boutiques/showroom-avenue-marceau","boutiques/showroom-avenue-marceau","https://www.nestore.com/boutiques/showroom-avenue-marceau","https://www.nestore.com/en/boutiques/showroom-avenue-marceau"
"boutiques/showroom-filles-du-calvaire","popup-shops/showroom-filles-du-calvaire","https://www.nestore.com/boutiques/showroom-filles-du-calvaire","https://www.nestore.com/en/popup-shops/showroom-filles-du-calvaire"
"boutiques/showroom-rue-de-turenne","popup-shops/showroom-rue-de-turenne","https://www.nestore.com/boutiques/showroom-rue-de-turenne","https://www.nestore.com/en/popup-shops/showroom-rue-de-turenne"
"boutiques/showroom-rue-de-turenne-paris","popup-shops/showroom-rue-de-turenne-paris","https://www.nestore.com/boutiques/showroom-rue-de-turenne-paris","https://www.nestore.com/en/popup-shops/showroom-rue-de-turenne-paris"
"boutiques/yves-toudic","popup-shops/6-yves-toudic","https://www.nestore.com/boutiques/yves-toudic","https://www.nestore.com/en/popup-shops/6-yves-toudic"
"guide/acteurs-pop-up-store","guidelines-pop-up-shops/players-pop-up-store","https://www.nestore.com/guide/acteurs-pop-up-store","https://www.nestore.com/en/guidelines-pop-up-shops/players-pop-up-store"
"guide/amenagement-vitrines-inspirations","guidelines-pop-up-shops/shop-window-inspirations","https://www.nestore.com/guide/amenagement-vitrines-inspirations","https://www.nestore.com/en/guidelines-pop-up-shops/shop-window-inspirations"
"guide/bail-commercial-et-sous-location-tout-ce-quil-faut-savoir","guide/bail-commercial-et-sous-location-tout-ce-quil-faut-savoir","https://www.nestore.com/guide/bail-commercial-et-sous-location-tout-ce-quil-faut-savoir","https://www.nestore.com/en/guide/bail-commercial-et-sous-location-tout-ce-quil-faut-savoir"
"guide/comment-choisir-un-bon-lieu-pour-votre-evenement","guide/comment-choisir-un-bon-lieu-pour-votre-evenement","https://www.nestore.com/guide/comment-choisir-un-bon-lieu-pour-votre-evenement","https://www.nestore.com/en/guide/comment-choisir-un-bon-lieu-pour-votre-evenement"
"guide/comment-creer-pop-up-store","guidelines-pop-up-shops/how-to-do-pop-up-shops","https://www.nestore.com/guide/comment-creer-pop-up-store","https://www.nestore.com/en/guidelines-pop-up-shops/how-to-do-pop-up-shops"
"guide/dans-quel-quartier-paris-organiser-pop-up-store","guidelines-pop-up-shops/in-which-district-paris-organise-pop-up-store","https://www.nestore.com/guide/dans-quel-quartier-paris-organiser-pop-up-store","https://www.nestore.com/en/guidelines-pop-up-shops/in-which-district-paris-organise-pop-up-store"
"guide/dates-et-programme-de-la-paris-retail-week","guide/dates-et-programme-de-la-paris-retail-week","https://www.nestore.com/guide/dates-et-programme-de-la-paris-retail-week","https://www.nestore.com/en/guide/dates-et-programme-de-la-paris-retail-week"
"guide/definition-pop-up-store","guidelines-pop-up-shops/defintion-pop-up-shop","https://www.nestore.com/guide/definition-pop-up-store","https://www.nestore.com/en/guidelines-pop-up-shops/defintion-pop-up-shop"
"guide/des-influenceurs-lancent-leur-pop-up-store","guidelines-pop-up-shops/influencers-pop-up-store","https://www.nestore.com/guide/des-influenceurs-lancent-leur-pop-up-store","https://www.nestore.com/en/guidelines-pop-up-shops/influencers-pop-up-store"
"guide/etapes-reussir-pop-up-store","guidelines-pop-up-shops/steps-successful-pop-up-store","https://www.nestore.com/guide/etapes-reussir-pop-up-store","https://www.nestore.com/en/guidelines-pop-up-shops/steps-successful-pop-up-store"
"guide/etapes-reussir-pop-up-store-amenagement","guidelines-pop-up-shops/pop-up-store-setup-tips","https://www.nestore.com/guide/etapes-reussir-pop-up-store-amenagement","https://www.nestore.com/en/guidelines-pop-up-shops/pop-up-store-setup-tips"
"guide/etapes-reussir-pop-up-store-amenagement-plantes-vegetaliser","guidelines-pop-up-shops/decorate-pop-up-store-with-plants","https://www.nestore.com/guide/etapes-reussir-pop-up-store-amenagement-plantes-vegetaliser","https://www.nestore.com/en/guidelines-pop-up-shops/decorate-pop-up-store-with-plants"
"guide/exemples-pop-up-store","guidelines-pop-up-shops/examples-pop-up-store","https://www.nestore.com/guide/exemples-pop-up-store","https://www.nestore.com/en/guidelines-pop-up-shops/examples-pop-up-store"
"guide/exemples-pop-up-store-design","guidelines-pop-up-shops/examples-design-pop-up-store","https://www.nestore.com/guide/exemples-pop-up-store-design","https://www.nestore.com/en/guidelines-pop-up-shops/examples-design-pop-up-store"
"guide/exemples-pop-up-store-marques-luxe","guidelines-pop-up-shops/luxury-brand-inspirations","https://www.nestore.com/guide/exemples-pop-up-store-marques-luxe","https://www.nestore.com/en/guidelines-pop-up-shops/luxury-brand-inspirations"
"guide/exemples-pop-up-store-original","guidelines-pop-up-shops/original-pop-up-stores-examples","https://www.nestore.com/guide/exemples-pop-up-store-original","https://www.nestore.com/en/guidelines-pop-up-shops/original-pop-up-stores-examples"
"guide/formats-pop-up-store","guidelines-pop-up-shops/pop-up-store-formats","https://www.nestore.com/guide/formats-pop-up-store","https://www.nestore.com/en/guidelines-pop-up-shops/pop-up-store-formats"
"guide/histoire-pop-up-store-naissance","guidelines-pop-up-shops/pop-up-store-history","https://www.nestore.com/guide/histoire-pop-up-store-naissance","https://www.nestore.com/en/guidelines-pop-up-shops/pop-up-store-history"
"guide/louer-un-restaurant-ephemere-definition-atouts-et-informations-cles","guide/louer-un-restaurant-ephemere-definition-atouts-et-informations-cles","https://www.nestore.com/guide/louer-un-restaurant-ephemere-definition-atouts-et-informations-cles","https://www.nestore.com/en/guide/louer-un-restaurant-ephemere-definition-atouts-et-informations-cles"
"guide/mesurer-succes-pop-up-store","guidelines-pop-up-shops/measuring-pop-up-store-performance","https://www.nestore.com/guide/mesurer-succes-pop-up-store","https://www.nestore.com/en/guidelines-pop-up-shops/measuring-pop-up-store-performance"
"guide/organiser-pop-up-store-quartier-batignolles","guidelines-pop-up-shops/launch-pop-up-store-in-batignolles","https://www.nestore.com/guide/organiser-pop-up-store-quartier-batignolles","https://www.nestore.com/en/guidelines-pop-up-shops/launch-pop-up-store-in-batignolles"
"guide/organiser-pop-up-store-quartier-charonne","guide/organiser-pop-up-store-quartier-charonne","https://www.nestore.com/guide/organiser-pop-up-store-quartier-charonne","https://www.nestore.com/en/guide/organiser-pop-up-store-quartier-charonne"
"guide/organiser-pop-up-store-quartier-les-halles","guidelines-pop-up-shops/les-halles-chatelet-district-paris","https://www.nestore.com/guide/organiser-pop-up-store-quartier-les-halles","https://www.nestore.com/en/guidelines-pop-up-shops/les-halles-chatelet-district-paris"
"guide/organiser-pop-up-store-quartier-marais","guidelines-pop-up-shops/marais-district-paris","https://www.nestore.com/guide/organiser-pop-up-store-quartier-marais","https://www.nestore.com/en/guidelines-pop-up-shops/marais-district-paris"
"guide/organiser-pop-up-store-quartier-saint-germain-des-pres","guidelines-pop-up-shops/saint-germain-des-pres-district-paris","https://www.nestore.com/guide/organiser-pop-up-store-quartier-saint-germain-des-pres","https://www.nestore.com/en/guidelines-pop-up-shops/saint-germain-des-pres-district-paris"
"guide/organiser-pop-up-store-ville-bordeaux","guidelines-pop-up-shops/organize-pop-up-store-bordeaux-france","https://www.nestore.com/guide/organiser-pop-up-store-ville-bordeaux","https://www.nestore.com/en/guidelines-pop-up-shops/organize-pop-up-store-bordeaux-france"
"guide/organiser-pop-up-store-ville-lille","guidelines-pop-up-shops/organize-pop-up-store-lille-france","https://www.nestore.com/guide/organiser-pop-up-store-ville-lille","https://www.nestore.com/en/guidelines-pop-up-shops/organize-pop-up-store-lille-france"
"guide/organiser-pop-up-store-ville-lyon","guidelines-pop-up-shops/organize-pop-up-store-lyon-france","https://www.nestore.com/guide/organiser-pop-up-store-ville-lyon","https://www.nestore.com/en/guidelines-pop-up-shops/organize-pop-up-store-lyon-france"
"guide/organiser-pop-up-store-ville-marseille","guidelines-pop-up-shops/pop-up-store-marseille-france","https://www.nestore.com/guide/organiser-pop-up-store-ville-marseille","https://www.nestore.com/en/guidelines-pop-up-shops/pop-up-store-marseille-france"
"guide/organiser-pop-up-store-ville-nantes","guidelines-pop-up-store/pop-up-store-nantes-france","https://www.nestore.com/guide/organiser-pop-up-store-ville-nantes","https://www.nestore.com/en/guidelines-pop-up-store/pop-up-store-nantes-france"
"guide/organiser-pop-up-store-ville-toulouse","guide/organiser-pop-up-store-ville-toulouse","https://www.nestore.com/guide/organiser-pop-up-store-ville-toulouse","https://www.nestore.com/en/guide/organiser-pop-up-store-ville-toulouse"
